name,country,code
St. Anthony Airport,CA,YAY
Tofino / Long Beach Airport,CA,YAZ
Banff Airport,CA,YBA
Kugaaruk Airport,CA,YBB
Baie Comeau Airport,CA,YBC
Bella Coola Airport,CA,QBC
Uranium City Airport,CA,YBE
Bonnyville Airport,CA,YBY
CFB Bagotville,CA,YBG
Baker Lake Airport,CA,YBK
Campbell River Airport,CA,YBL
Tadoule Lake Airport,CA,XTL
Brandon Municipal Airport,CA,YBR
Brochet Airport,CA,YBT
Berens River Airport,CA,YBV
Lourdes de Blanc Sablon Airport,CA,YBX
Cartwright Airport,CA,YRF
Cambridge Bay Airport,CA,YCB
Cornwall Regional Airport,CA,YCC
Nanaimo Airport,CA,YCD
Centralia / James T. Field Memorial Aerodrome,CA,YCE
Castlegar/West Kootenay Regional Airport,CA,YCG
Miramichi Airport,CA,YCH
Chatham Kent Airport,CA,XCM
Charlo Airport,CA,YCL
Cochrane Airport,CA,YCN
Kugluktuk Airport,CA,YCO
Chetwynd Airport,CA,YCQ
Cross Lake (Charlie Sinclair Memorial) Airport,CA,YCR
Chesterfield Inlet Airport,CA,YCS
Coronation Airport,CA,YCT
Cartierville Airport,CA,YCV
Chilliwack Airport,CA,YCW
Clyde River Airport,CA,YCY
Fairmont Hot Springs Airport,CA,YCZ
Dawson City Airport,CA,YDA
Burwash Airport,CA,YDB
Deer Lake Airport,CA,YDF
Dease Lake Airport,CA,YDL
Ross River Airport,CA,XRR
Dauphin Barker Airport,CA,YDN
Dolbeau St Felicien Airport,CA,YDO
Nain Airport,CA,YDP
Dawson Creek Airport,CA,YDQ
Edmonton International Airport,CA,YEG
Arviat Airport,CA,YEK
Elliot Lake Municipal Airport,CA,YEL
Manitoulin East Municipal Airport,CA,YEM
Estevan Airport,CA,YEN
Fort Severn Airport,CA,YER
Edson Airport,CA,YET
Eureka Airport,CA,YEU
Inuvik Mike Zubko Airport,CA,YEV
Amos/Magny Airport,CA,YEY
Fort Albany Airport,CA,YFA
Iqaluit Airport,CA,YFB
Fredericton Airport,CA,YFC
Forestville Airport,CA,YFE
Fort Hope Airport,CA,YFH
La Macaza / Mont-Tremblant International Inc Airport,CA,YTM
Flin Flon Airport,CA,YFO
Fort Resolution Airport,CA,YFR
Fort Simpson Airport,CA,YFS
Makkovik Airport,CA,YMN
Texada Gillies Bay Airport,CA,YGB
Fort Good Hope Airport,CA,YGH
Kingston Norman Rogers Airport,CA,YGK
La Grande RiviÃ¨re Airport,CA,YGL
Gimli Industrial Park Airport,CA,YGM
Gods Lake Narrows Airport,CA,YGO
GaspÃ© (Michel-Pouliot) Airport,CA,YGP
Geraldton Greenstone Regional Airport,CA,YGQ
Ãles-de-la-Madeleine Airport,CA,YGR
Igloolik Airport,CA,YGT
Havre St Pierre Airport,CA,YGV
Kuujjuarapik Airport,CA,YGW
Gillam Airport,CA,YGX
Grise Fiord Airport,CA,YGZ
